print("Available phases and plants:")
"Plant_id";"Plant_name";"Phase_id";"Phase_name"
101;"Beifuß";5;"Blüte Beginn"
102;"Busch-Windröschen";5;"Blüte Beginn"
103;"Eberesche";32;"herbstlicher Blattfall"
103;"Eberesche";62;"Erste reife Früchte"
103;"Eberesche";3;"Austrieb Beginn"
103;"Eberesche";4;"Blattentfaltung Beginn"
103;"Eberesche";5;"Blüte Beginn"
104;"Esche";4;"Blattentfaltung Beginn"
104;"Esche";5;"Blüte Beginn"
105;"Europaische Lärche";63;"herbstliche Nadelverfärbung"
105;"Europaische Lärche";64;"herbstlicher Nadelfall"
105;"Europaische Lärche";61;"Nadelentfaltung Beginn"
105;"Europaische Lärche";5;"Blüte Beginn"
106;"Falscher Jasmin";5;"Blüte Beginn"
107;"Fichte";8;"Maitrieb"
107;"Fichte";5;"Blüte Beginn"
108;"Flieder";5;"Blüte Beginn"
109;"Forsythie";5;"Blüte Beginn"
110;"Goldregen";5;"Blüte Beginn"
112;"Hänge-Birke";4;"Blattentfaltung Beginn"
112;"Hänge-Birke";31;"herbstliche Blattfärbung"
112;"Hänge-Birke";32;"herbstlicher Blattfall"
112;"Hänge-Birke";3;"Austrieb Beginn"
112;"Hänge-Birke";5;"Blüte Beginn"
113;"Hasel";5;"Blüte Beginn"
114;"Heidekraut";5;"Blüte Beginn"
115;"Herbstzeitlose";5;"Blüte Beginn"
116;"Huflattich";5;"Blüte Beginn"
117;"Hunds-Rose";62;"Erste reife Früchte"
117;"Hunds-Rose";5;"Blüte Beginn"
118;"Kiefer";5;"Blüte Beginn"
118;"Kiefer";8;"Maitrieb"
119;"Kornelkirsche";62;"Erste reife Früchte"
119;"Kornelkirsche";5;"Blüte Beginn"
120;"Löwenzahn";5;"Blüte Beginn"
121;"Robinie";5;"Blüte Beginn"
121;"Robinie";4;"Blattentfaltung Beginn"
122;"Rosskastanie";31;"herbstliche Blattfärbung"
122;"Rosskastanie";62;"Erste reife Früchte"
122;"Rosskastanie";3;"Austrieb Beginn"
122;"Rosskastanie";4;"Blattentfaltung Beginn"
122;"Rosskastanie";5;"Blüte Beginn"
122;"Rosskastanie";32;"herbstlicher Blattfall"
123;"Rotbuche";31;"herbstliche Blattfärbung"
123;"Rotbuche";32;"herbstlicher Blattfall"
123;"Rotbuche";4;"Blattentfaltung Beginn"
123;"Rotbuche";5;"Blüte Beginn"
123;"Rotbuche";62;"Erste reife Früchte"
124;"Sal-Weide";5;"Blüte Beginn"
125;"Schlehe";5;"Blüte Beginn"
126;"Schneebeere";5;"Blüte Beginn"
127;"Schneeglöckchen";5;"Blüte Beginn"
128;"Schwarz-Erle";4;"Blattentfaltung Beginn"
128;"Schwarz-Erle";5;"Blüte Beginn"
129;"Schwarzer Holunder";62;"Erste reife Früchte"
129;"Schwarzer Holunder";5;"Blüte Beginn"
130;"Sommer-Linde";5;"Blüte Beginn"
130;"Sommer-Linde";4;"Blattentfaltung Beginn"
131;"Spitz-Ahorn";5;"Blüte Beginn"
132;"Stiel-Eiche";31;"herbstliche Blattfärbung"
132;"Stiel-Eiche";32;"herbstlicher Blattfall"
132;"Stiel-Eiche";62;"Erste reife Früchte"
132;"Stiel-Eiche";4;"Blattentfaltung Beginn"
132;"Stiel-Eiche";5;"Blüte Beginn"
132;"Stiel-Eiche";9;"Johannistrieb"
133;"Tanne";8;"Maitrieb"
133;"Tanne";5;"Blüte Beginn"
134;"Traubenkirsche";5;"Blüte Beginn"
135;"Wiesen-Fuchsschwanz";5;"Blüte Beginn"
135;"Wiesen-Fuchsschwanz";6;"Vollblüte"
136;"Wiesen-Knäuelgras";6;"Vollblüte"
137;"Winter-Linde";5;"Blüte Beginn"
137;"Winter-Linde";4;"Blattentfaltung Beginn"
138;"Zweigriffliger Weißdorn";5;"Blüte Beginn"
138;"Zweigriffliger Weißdorn";62;"Erste reife Früchte"
201;"Dauergrünland";25;"1. Heuschnitt"
201;"Dauergrünland";27;"2. Heuschnitt"
201;"Dauergrünland";1;"Ergrünen Beginn"
201;"Dauergrünland";26;"1. Silageschnitt"
201;"Dauergrünland";28;"2. Silageschnitt"
201;"Dauergrünland";35;"1. Heu- oder (!) Silageschnitt"
201;"Dauergrünland";36;"2. Heu- oder (!) Silageschnitt"
202;"Winterweizen";10;"Bestellung Beginn"
202;"Winterweizen";23;"Ernte von Hand"
202;"Winterweizen";15;"Schossen Beginn"
202;"Winterweizen";18;"Ährenschieben Beginn"
202;"Winterweizen";21;"Gelbreife Beginn"
202;"Winterweizen";12;"Auflaufen Beginn"
202;"Winterweizen";19;"Milchreife Beginn"
202;"Winterweizen";24;"Ernte"
202;"Winterweizen";22;"Vollreife Beginn"
203;"Winterroggen";5;"Blüte Beginn"
203;"Winterroggen";18;"Ährenschieben Beginn"
203;"Winterroggen";21;"Gelbreife Beginn"
203;"Winterroggen";23;"Ernte von Hand"
203;"Winterroggen";10;"Bestellung Beginn"
203;"Winterroggen";15;"Schossen Beginn"
203;"Winterroggen";12;"Auflaufen Beginn"
203;"Winterroggen";6;"Vollblüte"
203;"Winterroggen";24;"Ernte"
203;"Winterroggen";22;"Vollreife Beginn"
204;"Wintergerste";18;"Ährenschieben Beginn"
204;"Wintergerste";21;"Gelbreife Beginn"
204;"Wintergerste";24;"Ernte"
204;"Wintergerste";10;"Bestellung Beginn"
204;"Wintergerste";12;"Auflaufen Beginn"
204;"Wintergerste";15;"Schossen Beginn"
204;"Wintergerste";23;"Ernte von Hand"
204;"Wintergerste";22;"Vollreife Beginn"
205;"Winterraps";5;"Blüte Beginn"
205;"Winterraps";10;"Bestellung Beginn"
205;"Winterraps";12;"Auflaufen Beginn"
205;"Winterraps";14;"Rosettenbildung Beginn"
205;"Winterraps";17;"Knospenbildung Beginn"
205;"Winterraps";22;"Vollreife Beginn"
205;"Winterraps";24;"Ernte"
205;"Winterraps";67;"Längenwachstum Beginn"
206;"Sommerweizen";10;"Bestellung Beginn"
206;"Sommerweizen";12;"Auflaufen Beginn"
206;"Sommerweizen";15;"Schossen Beginn"
206;"Sommerweizen";18;"Ährenschieben Beginn"
206;"Sommerweizen";21;"Gelbreife Beginn"
206;"Sommerweizen";23;"Ernte von Hand"
206;"Sommerweizen";24;"Ernte"
206;"Sommerweizen";22;"Vollreife Beginn"
207;"Sommergerste";10;"Bestellung Beginn"
207;"Sommergerste";12;"Auflaufen Beginn"
207;"Sommergerste";21;"Gelbreife Beginn"
207;"Sommergerste";23;"Ernte von Hand"
207;"Sommergerste";15;"Schossen Beginn"
207;"Sommergerste";18;"Ährenschieben Beginn"
207;"Sommergerste";24;"Ernte"
207;"Sommergerste";22;"Vollreife Beginn"
208;"Hafer";10;"Bestellung Beginn"
208;"Hafer";21;"Gelbreife Beginn"
208;"Hafer";23;"Ernte von Hand"
208;"Hafer";66;"Rispenschieben Beginn"
208;"Hafer";12;"Auflaufen Beginn"
208;"Hafer";15;"Schossen Beginn"
208;"Hafer";19;"Milchreife Beginn"
208;"Hafer";24;"Ernte"
208;"Hafer";22;"Vollreife Beginn"
209;"Sonnenblume";5;"Blüte Beginn"
209;"Sonnenblume";10;"Bestellung Beginn"
209;"Sonnenblume";12;"Auflaufen Beginn"
209;"Sonnenblume";24;"Ernte"
209;"Sonnenblume";16;"Blattbildung Beginn"
209;"Sonnenblume";17;"Knospenbildung Beginn"
215;"Mais";65;"Fahnenschieben Beginn"
215;"Mais";5;"Blüte Beginn"
215;"Mais";10;"Bestellung Beginn"
215;"Mais";12;"Auflaufen Beginn"
215;"Mais";19;"Milchreife Beginn"
215;"Mais";20;"Teigreife Beginn"
215;"Mais";21;"Gelbreife Beginn"
215;"Mais";24;"Ernte"
215;"Mais";67;"Längenwachstum Beginn"
215;"Mais";6;"Vollblüte"
232;"Frühkartoffel vorgekeimt";10;"Bestellung Beginn"
232;"Frühkartoffel vorgekeimt";12;"Auflaufen Beginn"
232;"Frühkartoffel vorgekeimt";13;"Bestand geschlossen"
